#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
251;Garrett Hampson;MIA;98;252;3;30;23;5;9.1%;26.6%;.104;.379;.276;.349;.380;.323;101;1.5;1.8;-3.8;0.7
252;Miguel Amaya;CHC;53;156;5;17;18;0;7.7%;25.6%;.145;.264;.214;.329;.359;.310;94;-0.3;-1.4;2.6;0.6
253;Austin Slater;SFG;89;207;5;24;20;2;9.7%;28.0%;.130;.369;.270;.348;.400;.330;110;-1.4;1.2;-1.8;0.6
254;Miguel Rojas;LAD;125;423;5;49;31;8;6.1%;11.3%;.086;.255;.236;.290;.322;.271;69;-0.4;-16.5;8.7;0.6
255;Wilyer Abreu;BOS;28;85;2;10;14;3;10.6%;27.1%;.158;.431;.316;.388;.474;.375;135;-0.3;3.2;0.2;0.6
256;Nick Fortes;MIA;108;323;6;33;26;4;5.3%;18.3%;.095;.234;.204;.263;.299;.251;53;0.1;-18.8;14.2;0.6
257;Endy Rodríguez;PIT;57;204;3;27;13;0;8.3%;24.0%;.108;.281;.220;.284;.328;.271;65;0.7;-8.1;7.5;0.6
258;Byron Buxton;MIN;85;347;17;49;42;9;10.1%;31.4%;.230;.253;.207;.294;.438;.311;98;3.8;3.0;-8.6;0.6
259;Alex Kirilloff;MIN;88;319;11;35;41;1;8.8%;25.1%;.174;.337;.270;.348;.445;.343;120;-1.9;5.7;-10.6;0.6
260;Isiah Kiner-Falefa;NYY;115;361;6;39;37;14;7.8%;19.4%;.098;.289;.242;.306;.340;.286;82;0.0;-7.9;1.6;0.6
261;Masataka Yoshida;BOS;140;580;15;71;72;8;5.9%;14.0%;.156;.316;.289;.338;.445;.339;109;-1.9;4.7;-18.5;0.6
262;Ernie Clement;TOR;30;52;1;7;10;1;1.9%;7.7%;.120;.391;.380;.385;.500;.378;144;0.5;3.3;0.8;0.6
263;Patrick Wisdom;CHC;97;302;23;43;46;4;9.9%;36.8%;.295;.237;.205;.289;.500;.333;109;-0.3;3.2;-7.6;0.6
264;Noelvi Marte;CIN;35;123;3;15;15;6;6.5%;20.3%;.140;.384;.316;.366;.456;.357;120;-0.2;2.8;-1.2;0.6
265;Gabriel Arias;CLE;122;345;10;36;26;3;8.1%;32.8%;.143;.290;.210;.275;.352;.276;74;0.5;-10.2;4.1;0.6
266;Dominic Fletcher;ARI;28;102;2;10;14;0;6.9%;21.6%;.140;.377;.301;.350;.441;.340;113;-1.1;0.5;1.8;0.6
